instancia,n,tiempo
1,1,85.0129
2,2,872.243
3,3,1232.81
4,4,1441.08
5,5,1551.43
6,6,1994.75
7,7,2093.12
8,8,2320.01
9,9,2535.92
10,10,2883.38
