instancia,n,tiempo
1,1,812.978
2,2,1876.52
3,3,2813.32
4,4,2989.04
5,5,3376.94
6,6,4135.03
7,7,4284.5
8,8,4329.8
9,9,4540.74
10,10,4582.8
