instancia,n,tiempo
1,1,820.976
2,2,1469.51
3,3,3981.37
4,4,4773.17
5,5,5340.7
6,6,5900.54
7,7,6405.18
8,8,6953.44
9,9,11377.6
10,10,11980.9
