instancia,n,tiempo
1,1,578.331
2,2,2036.25
3,3,2704.11
4,4,2934.23
5,5,3043.1
6,6,3490.58
7,7,3698.42
8,8,4062.26
9,9,4418.39
10,10,4478.78
