instancia,n,tiempo
1,1,7003.34
2,2,16452.8
3,3,16553.8
4,4,18703.7
5,5,19203.9
6,6,22136.7
7,7,25251.2
8,8,25374.5
9,9,27761.1
10,10,28392.7
