instancia,n,tiempo
1,1,256.899
2,2,2208.8
3,3,11449.1
4,4,13389.2
5,5,22741.2
6,6,23160.9
7,7,28040.6
8,8,33240.6
9,9,34347.8
10,10,35764.8
