instancia,n,tiempo
1,1,731.992
2,2,1056.13
3,3,1351.41
4,4,1464.22
5,5,1484.14
6,6,1562.92
7,7,1576.53
8,8,1672.04
9,9,1804.05
10,10,1972.11
