instancia,n,tiempo
1,1,900.343
2,2,1269.25
3,3,1949.46
4,4,2247.24
5,5,3088.5
6,6,9530.06
7,7,9697.44
8,8,9859.25
9,9,9986.64
10,10,11029.4
