instancia,n,tiempo
1,1,4318.86
2,2,10892.7
3,3,11744.8
4,4,12431.2
5,5,18022.1
6,6,32185.4
7,7,35164.8
8,8,38432.5
9,9,50764.8
10,10,50941.9
