instancia,n,tiempo
1,1,889.34
2,2,1376.13
3,3,1539.02
4,4,2134.24
5,5,3058.56
6,6,3119.52
7,7,4010.21
8,8,4461.18
9,9,4833.82
10,10,7743.54
