instancia,n,tiempo
1,1,881.256
2,2,2528.94
3,3,2653.16
4,4,3889.01
5,5,5337.31
6,6,5758.54
7,7,6817.16
8,8,9376.84
9,9,10817.3
10,10,11114.1
