instancia,n,tiempo
1,1,324.676
2,2,1879.44
3,3,2286.16
4,4,2531.36
5,5,3248.78
6,6,3550.75
7,7,4186.57
8,8,4220.89
9,9,4927.43
10,10,5151.9
