instancia,n,tiempo
1,1,1263.06
2,2,1478.22
3,3,1673.34
4,4,1797.32
5,5,1877.25
6,6,2785.5
7,7,3054.68
8,8,3357.5
9,9,3365.79
10,10,3384.6
