instancia,n,tiempo
1,1,667.261
2,2,1025.77
3,3,1203.5
4,4,1337.82
5,5,2672.63
6,6,2804.6
7,7,3439.79
8,8,4201.73
9,9,4578.1
10,10,4917.94
