instancia,n,tiempo
1,1,163.486
2,2,1285.38
3,3,1701.44
4,4,10727.1
5,5,11544.7
6,6,14396.2
7,7,15739.4
8,8,17570.4
9,9,20041.7
10,10,23926.8
