instancia,n,tiempo
1,1,23.0099
2,2,1329.17
3,3,2370.94
4,4,3966.61
5,5,4189.8
6,6,5203.83
7,7,7190.22
8,8,7451.02
9,9,7484.97
10,10,8294.88
