instancia,n,tiempo
1,1,1033.49
2,2,1809.69
3,3,1990.5
4,4,2027.76
5,5,2605.7
6,6,3381.6
7,7,3421.39
8,8,4024.98
9,9,4305.69
10,10,4900.32
