instancia,n,tiempo
1,1,1382.62
2,2,2189.35
3,3,2541.05
4,4,4628.1
5,5,5431.35
6,6,7046.78
7,7,8228.73
8,8,15378.1
9,9,17248.8
10,10,18144.6
