instancia,n,tiempo
1,1,353.337
2,2,3901.24
3,3,4055.91
4,4,4500.74
5,5,5174.34
6,6,6535.12
7,7,6972.77
8,8,10667.8
9,9,10822.4
10,10,11572.5
