instancia,n,tiempo
1,1,1940.23
2,2,2185.73
3,3,3494.45
4,4,6775.9
5,5,7113.29
6,6,7207.72
7,7,7694.47
8,8,9843.49
9,9,11616.1
10,10,12419.9
