instancia,n,tiempo
1,1,15974.8
2,2,18258.6
3,3,21455.1
4,4,35588.5
5,5,55796.7
6,6,57916.2
7,7,66760.4
8,8,69608.1
9,9,82608.2
10,10,94594.4
