instancia,n,tiempo
1,1,968.648
2,2,2191.23
3,3,5225.31
4,4,7039.07
5,5,8079.35
6,6,8983.64
7,7,10452.6
8,8,11283.4
9,9,11520.7
10,10,11536.9
