instancia,n,tiempo
1,1,931.531
2,2,1416.18
3,3,3927.59
4,4,5264.67
5,5,5824.07
6,6,5922.92
7,7,7943.82
8,8,8571.83
9,9,8758.26
10,10,9691.12
